frecuencia obtenida:
           |0.0-0.1 | 0.1-0.2 | 0.2-0.3 | 0.3-0.4 | 0.4-0.5 | 0.5-0.6 | 0.6-0.7 | 0.7-0.8 | 0.8-0.9 | 0.9-1.0|
0.0 - 0.1  |   640  |   638   |   639   |   691   |   664   |   662   |   629   |   673   |   681   |   672  |
0.1 - 0.2  |   644  |   689   |   676   |   666   |   676   |   701   |   706   |   715   |   763   |   623  |
0.2 - 0.3  |   665  |   701   |   685   |   703   |   694   |   673   |   652   |   628   |   694   |   629  |
0.3 - 0.4  |   625  |   693   |   688   |   650   |   645   |   670   |   691   |   647   |   634   |   650  |
0.4 - 0.5  |   664  |   750   |   655   |   638   |   656   |   668   |   657   |   677   |   703   |   707  |
0.5 - 0.6  |   682  |   715   |   671   |   663   |   672   |   703   |   707   |   708   |   653   |   682  |
0.6 - 0.7  |   644  |   640   |   629   |   583   |   721   |   699   |   655   |   669   |   679   |   668  |
0.7 - 0.7  |   672  |   692   |   716   |   648   |   715   |   680   |   644   |   661   |   642   |   653  |
0.7 - 0.8  |   675  |   654   |   698   |   710   |   695   |   719   |   651   |   656   |   694   |   699  |
0.8 - 0.9  |   678  |   687   |   666   |   641   |   637   |   681   |   595   |   690   |   708   |   688  |
(fe-fo)²/fe:
           |  0.0-0.1 |   0.1-0.2 |   0.2-0.3 |   0.3-0.4 |   0.4-0.5 |   0.5-0.6 |   0.6-0.7 |   0.7-0.8 |   0.8-0.9 |   0.9-1.0|
0.0 - 0.1  |   12196  |   12199   |   12197   |   12099   |   12150   |   12154   |   12217   |   12133   |   12118   |   12135  |
0.1 - 0.2  |   12188  |   12102   |   12127   |   12146   |   12127   |   12080   |   12070   |   12053   |   11962   |   12228  |
0.2 - 0.3  |   12148  |   12080   |   12110   |   12076   |   12093   |   12133   |   12173   |   12218   |   12093   |   12217  |
0.3 - 0.4  |   12224  |   12095   |   12104   |   12177   |   12186   |   12138   |   12099   |   12182   |   12207   |   12177  |
0.4 - 0.5  |   12150  |   11987   |   12167   |   12199   |   12165   |   12142   |   12163   |   12125   |   12076   |   12068  |
0.5 - 0.6  |   12116  |   12053   |   12137   |   12152   |   12135   |   12076   |   12068   |   12066   |   12171   |   12116  |
0.6 - 0.7  |   12188  |   12196   |   12217   |   12304   |   12042   |   12083   |   12167   |   12140   |   12121   |   12142  |
0.7 - 0.7  |   12135  |   12097   |   12051   |   12180   |   12053   |   12119   |   12188   |   12156   |   12192   |   12171  |
0.7 - 0.8  |   12129  |   12169   |   12085   |   12063   |   12091   |   12046   |   12175   |   12165   |   12093   |   12083  |
0.8 - 0.9  |   12123  |   12106   |   12146   |   12194   |   12201   |   12118   |   12281   |   12101   |   12066   |   12104  |
